BLACK_CARDS, NUM_BLANKS
"Cornell spends too much money on __",1
"I missed pre-enroll because of __",1
"Cornell is now ranked number 1 in __",1
"__ is the only thing worse than Ithaca weather",1
"RPCC is proud to host a themed dinner to honor __",1
"I saw __ on the TCAT at midnight",1
"__ will get you in even better shape than walking up the slope",1
"There's an art installation on the Arts Quad that reminds me of __",1
"I wasted all my BRBs on __, and I'd do it again",1
"The worst thing about Okenshields is __",1
"Freshmen are surprised when they first see __ on campus.",1
"Willard Straight introduced __ as their newest popcorn flavor",1
"Next up on Happy Dave's playlist is __",1
"By day he's Happy Dave, by night he's __",1
"North Campus is pleased to announce a new program house focused on __",1
"The College of Arts & Sciences voted to include __ as a new graduation requirement",1
"I didn't get my first choice FWS and now I'm stuck with __",1
"Engineers need to shut up about __. Get over yourselves",1
"Rumor has it that Martha Pollack came to Cornell after a scandal involving __",1
"Cornell is offering a new course in __",1
"CALS students get waaaay too excited about __",1
"No one knows what Human Ecology means, but it has something to do with __",1
"My sorority's philanthropy is __",1
"Once again, the admin ignored students' cries for __",1
"I couldn't get an appointment at Cornell Health despite __",1
"Not even 10 5-Hour Energies can help me with __",1
"The prelim is in 2 hours and I don't know anything about __",1
"I don't know what __ is and I'm too afraid to ask.",1
"r/cornell recommended __ for a cute Valentine's date",1
"Any person, any study, any __",1
"Perfect Match's spicy new questionnaire asks participants if they've ever tried __",1
"Everyone says __ is part of the Cornell experience",1
"You can't survive a summer in Ithaca without __",1
"Who needs a girlfriend when you have __",1
"I like to work in Duffield but I can't stand __",1
"The College of Engineering created a new project team that focuses on __",1
"Despite __, classes will still be held tomorrow.",1
"The newest item on the 161 things to do at Cornell is __",1
"The Dairy Bar's newest flavor is __",1
"Cornell Cinema is screening a documentary on __ this weekend",1
"Cornell shut down __ because of budget cuts",1
"The thing I miss most about being a freshman is __",1
"We're excited to announce that this year's Slope Day performer is __",1
"Cornell will now charge $0.09 for __",1
"That's right ladies, I majored in __",1
"I went to Clubfest just for the free __",1
"I didn't get a job from the career fair, but I did get __",1
"Study abroad provides countless opportunities for __",1
"I sold out to pay for __ and I don't regret it",1
"I paid $500,000 to get my kid into __",1
"You don't wanna mess with me because my Dad is __",1
"What caused the lastest 3am fire alarm?",1
"I've already called maintenance 6 times about __",1
"I threw __ on the ice at the Cornell v. Harvard hockey game",1
"Martha Pollack has announced she is forming a new task force to combat __",1
"I took a gap semester to deal with __",1
"Sure Ithaca is gorges, but have you seen __?",1
"ILR, advancing the world of __",1
"Karl Marx and __ are the two quickest ways to an ILRie's heart",1
"Did you hear?! Willard Straight has free __",1
"Can you believe it? My hotelie friend is taking a class in __",1
"You've heard of Intro to Wines, now get ready for Intro to __",1
"What is Happy Dave so Happy about?",1
"Hail, all hail __",1
"Far above Cayuga's __",1
"Big Red __",1
"I have 57 years of programming experience and you have __",1
"Gries's 57 years of programming experience are no match for my 3 semesters of __ experience",1
"I got a quartercard on Ho Plaza advertising __",1
